Date,Open,High,Low,Close,Adj Close,Volume
2019-10-30,16.400000,16.400000,15.600000,15.750000,15.750000,128947
2019-10-31,15.800000,16.299999,15.050000,15.650000,15.650000,99478
2019-11-01,15.450000,16.000000,15.000000,15.400000,15.400000,134208
2019-11-04,15.950000,16.100000,15.400000,15.800000,15.800000,226029
2019-11-05,16.000000,16.400000,15.500000,15.650000,15.650000,94554
2019-11-06,15.900000,15.900000,14.900000,15.400000,15.400000,123875
2019-11-07,15.400000,15.700000,14.750000,15.100000,15.100000,77300
2019-11-08,15.600000,15.750000,14.900000,15.250000,15.250000,93382
2019-11-11,15.600000,15.750000,15.300000,15.650000,15.650000,120858
2019-11-13,15.300000,15.500000,14.900000,14.950000,14.950000,198521
2019-11-14,14.950000,14.950000,14.250000,14.250000,14.250000,111123
2019-11-15,14.700000,14.850000,13.550000,14.600000,14.600000,156833
2019-11-18,14.750000,15.300000,14.250000,14.750000,14.750000,195381
2019-11-19,15.000000,15.400000,14.600000,14.850000,14.850000,76820
2019-11-20,15.050000,15.050000,14.500000,14.750000,14.750000,138530
2019-11-21,14.950000,15.100000,14.250000,14.900000,14.900000,141588
2019-11-22,15.000000,15.400000,14.550000,15.200000,15.200000,115817
2019-11-25,15.400000,15.550000,14.750000,15.000000,15.000000,174189
2019-11-26,15.450000,15.450000,14.750000,14.950000,14.950000,136665
2019-11-27,15.050000,15.250000,14.700000,14.800000,14.800000,64896
2019-11-28,14.650000,15.000000,14.500000,14.800000,14.800000,193324
2019-11-29,14.700000,15.000000,14.100000,14.600000,14.600000,143623
2019-12-02,15.150000,15.150000,14.200000,14.500000,14.500000,132380
2019-12-03,14.900000,14.900000,13.800000,14.200000,14.200000,98893
2019-12-04,14.000000,14.650000,14.000000,14.450000,14.450000,122670
2019-12-05,14.450000,14.650000,14.050000,14.300000,14.300000,69001
2019-12-06,14.700000,14.750000,14.050000,14.100000,14.100000,42183
2019-12-09,14.350000,14.500000,13.700000,14.000000,14.000000,104168
2019-12-10,14.150000,14.300000,13.350000,13.750000,13.750000,136894
2019-12-11,13.700000,13.950000,13.100000,13.100000,13.100000,155688
2019-12-12,12.900000,13.450000,12.600000,12.750000,12.750000,125673
2019-12-13,13.200000,13.350000,12.550000,13.250000,13.250000,157768
2019-12-16,13.250000,13.350000,12.700000,12.800000,12.800000,459132
2019-12-17,12.800000,13.200000,12.700000,12.850000,12.850000,138772
2019-12-18,12.850000,13.200000,12.850000,13.050000,13.050000,62506
2019-12-19,13.350000,13.350000,12.850000,13.050000,13.050000,46208
2019-12-20,12.900000,13.150000,12.900000,13.050000,13.050000,66411
2019-12-23,12.750000,13.200000,12.750000,12.950000,12.950000,73080
2019-12-24,12.800000,13.150000,12.800000,12.950000,12.950000,123878
2019-12-26,12.850000,13.050000,12.750000,12.800000,12.800000,174736
2019-12-27,12.850000,13.400000,12.850000,13.400000,13.400000,96830
2019-12-30,13.550000,14.050000,13.550000,14.050000,14.050000,129242
2019-12-31,14.750000,14.750000,14.050000,14.300000,14.300000,206499
2020-01-01,14.600000,14.600000,13.950000,14.300000,14.300000,74677
2020-01-02,14.450000,14.450000,13.900000,14.300000,14.300000,132987
2020-01-03,14.150000,14.850000,14.150000,14.700000,14.700000,118901
2020-01-06,14.800000,15.400000,14.700000,15.350000,15.350000,375162
2020-01-07,15.900000,16.100000,15.200000,15.550000,15.550000,343935
2020-01-08,15.500000,15.850000,15.100000,15.550000,15.550000,222238
2020-01-09,15.700000,15.950000,15.200000,15.300000,15.300000,220097
2020-01-10,15.500000,15.900000,14.750000,15.350000,15.350000,248184
2020-01-13,15.350000,15.350000,15.000000,15.050000,15.050000,119289
2020-01-14,15.050000,15.050000,14.400000,14.700000,14.700000,140924
2020-01-15,14.300000,14.950000,14.100000,14.800000,14.800000,115206
2020-01-16,15.300000,15.400000,14.750000,15.200000,15.200000,291368
2020-01-17,14.900000,15.400000,14.900000,15.200000,15.200000,101834
2020-01-20,15.500000,15.500000,14.900000,15.050000,15.050000,191574
2020-01-21,15.000000,15.200000,14.800000,14.950000,14.950000,64852
2020-01-22,14.950000,15.050000,14.650000,14.800000,14.800000,115215
2020-01-23,14.900000,15.000000,14.650000,14.900000,14.900000,78548
2020-01-24,14.950000,15.000000,14.750000,14.950000,14.950000,75146
2020-01-27,15.300000,15.300000,14.600000,14.750000,14.750000,103408
2020-01-28,14.750000,14.900000,14.300000,14.400000,14.400000,76882
2020-01-29,14.300000,14.600000,14.250000,14.400000,14.400000,55824
2020-01-30,14.450000,14.500000,14.100000,14.250000,14.250000,31660
2020-01-31,14.250000,14.250000,13.550000,13.550000,13.550000,112639
2020-02-03,13.200000,13.200000,12.550000,12.550000,12.550000,150468
2020-02-04,12.250000,12.550000,11.950000,12.200000,12.200000,189577
2020-02-05,12.000000,12.800000,11.800000,12.800000,12.800000,84908
2020-02-06,13.650000,14.050000,13.450000,14.050000,14.050000,125864
2020-02-07,15.450000,15.450000,14.500000,15.450000,15.450000,603590
2020-02-10,15.750000,15.750000,14.200000,14.350000,14.350000,230228
2020-02-11,15.000000,15.100000,14.350000,14.750000,14.750000,234468
2020-02-12,14.800000,15.000000,14.000000,14.150000,14.150000,79372
2020-02-13,14.350000,14.650000,14.050000,14.200000,14.200000,115509
2020-02-14,13.950000,14.700000,13.500000,13.800000,13.800000,96008
2020-02-17,14.200000,14.200000,13.200000,13.400000,13.400000,104345
2020-02-18,13.150000,14.200000,12.700000,13.550000,13.550000,178965
2020-02-19,13.550000,14.150000,13.250000,13.800000,13.800000,65790
2020-02-20,13.750000,14.000000,13.300000,13.450000,13.450000,77496
2020-02-24,13.700000,14.000000,13.300000,13.650000,13.650000,108858
2020-02-25,13.300000,13.850000,13.300000,13.750000,13.750000,76258
2020-02-26,13.850000,14.100000,13.400000,13.900000,13.900000,145915
2020-02-27,14.200000,14.200000,12.650000,13.150000,13.150000,66444
2020-02-28,13.050000,13.050000,12.100000,12.450000,12.450000,106539
2020-03-02,12.900000,13.000000,12.100000,12.150000,12.150000,153471
2020-03-03,12.800000,12.800000,12.100000,12.400000,12.400000,90452
2020-03-04,12.600000,12.700000,12.050000,12.150000,12.150000,78742
2020-03-05,12.350000,12.500000,11.700000,12.400000,12.400000,90510
2020-03-06,11.900000,11.900000,11.200000,11.750000,11.750000,418981
2020-03-09,11.700000,12.400000,10.600000,10.600000,10.600000,328600
2020-03-11,10.400000,11.200000,9.900000,10.500000,10.500000,219274
2020-03-12,10.400000,10.400000,9.450000,9.450000,9.450000,226652
2020-03-13,8.550000,10.300000,8.550000,9.700000,9.700000,398785
2020-03-16,9.950000,9.950000,8.750000,8.800000,8.800000,247075
2020-03-17,8.300000,9.450000,8.300000,9.250000,9.250000,215389
2020-03-18,9.550000,9.550000,8.550000,9.050000,9.050000,144073
2020-03-19,9.150000,9.150000,8.400000,8.800000,8.800000,113542
2020-03-20,8.500000,9.000000,8.300000,8.450000,8.450000,196412
2020-03-23,8.450000,9.000000,7.650000,7.650000,7.650000,246621
2020-03-24,8.250000,8.250000,7.000000,7.750000,7.750000,217668
2020-03-25,7.200000,8.150000,7.200000,7.800000,7.800000,183195
2020-03-26,8.000000,8.450000,7.500000,8.150000,8.150000,205764
2020-03-27,8.200000,8.900000,7.950000,8.250000,8.250000,233485
2020-03-30,8.000000,8.700000,7.500000,8.300000,8.300000,211257
2020-03-31,8.700000,8.700000,8.050000,8.500000,8.500000,96710
2020-04-01,8.350000,8.800000,8.000000,8.400000,8.400000,188836
2020-04-03,9.150000,9.150000,8.400000,8.550000,8.550000,202856
2020-04-07,9.350000,9.350000,8.600000,8.750000,8.750000,355087
2020-04-08,9.200000,9.200000,8.800000,8.950000,8.950000,143187
2020-04-09,9.000000,10.700000,9.000000,10.700000,10.700000,532414
2020-04-13,11.700000,12.800000,10.650000,12.800000,12.800000,763360
2020-04-15,15.000000,15.350000,14.000000,15.350000,15.350000,797680
2020-04-16,16.650000,16.850000,15.250000,15.900000,15.900000,1350375
2020-04-17,16.900000,16.900000,14.400000,14.900000,14.900000,1186235
2020-04-20,16.350000,16.350000,16.350000,16.350000,16.350000,421227
2020-04-21,17.950001,17.950001,17.299999,17.950001,17.950001,1382108
2020-04-22,19.700001,19.700001,19.450001,19.700001,19.700001,570191
2020-04-23,20.650000,20.650000,20.650000,20.650000,20.650000,109856
2020-04-24,21.650000,21.650000,21.650000,21.650000,21.650000,155897
2020-04-27,22.700001,22.700001,20.600000,20.600000,20.600000,3626536
2020-04-28,19.600000,20.049999,19.600000,19.600000,19.600000,1591333
2020-04-29,18.650000,19.350000,18.650000,18.650000,18.650000,1187533
2020-04-30,17.750000,18.750000,17.750000,17.750000,17.750000,1310912
2020-05-04,16.900000,16.900000,16.900000,16.900000,16.900000,65762
2020-05-05,16.100000,16.100000,16.100000,16.100000,16.100000,145511
2020-05-06,15.300000,16.100000,15.300000,15.300000,15.300000,478964
2020-05-07,15.800000,16.049999,15.700000,16.049999,16.049999,219272
2020-05-08,16.850000,16.850000,15.250000,16.750000,16.750000,1534761
2020-05-11,16.850000,17.450001,15.950000,16.150000,16.150000,776060
2020-05-12,16.150000,16.400000,15.400000,16.150000,16.150000,461199
2020-05-13,16.850000,16.850000,15.550000,15.950000,15.950000,339110
2020-05-14,15.950000,16.549999,15.400000,15.800000,15.800000,326300
2020-05-15,15.800000,16.250000,15.350000,15.750000,15.750000,351402
2020-05-18,16.049999,16.049999,15.000000,15.000000,15.000000,250453
2020-05-19,15.000000,15.000000,14.250000,14.300000,14.300000,466292
2020-05-20,14.000000,14.100000,13.600000,13.600000,13.600000,278951
2020-05-21,13.150000,14.250000,13.100000,14.250000,14.250000,377448
2020-05-22,14.850000,14.950000,14.500000,14.950000,14.950000,401585
2020-05-26,15.650000,15.650000,15.650000,15.650000,15.650000,240775
2020-05-27,16.400000,16.400000,15.150000,15.700000,15.700000,634643
2020-05-28,15.450000,16.350000,15.250000,16.000000,16.000000,404294
2020-05-29,16.000000,16.000000,15.450000,15.700000,15.700000,272557
2020-06-01,15.850000,16.299999,15.500000,16.100000,16.100000,334179
2020-06-02,16.400000,16.650000,15.900000,16.400000,16.400000,548356
2020-06-03,16.850000,16.850000,16.400000,16.600000,16.600000,479396
2020-06-04,16.650000,17.400000,16.000000,17.150000,17.150000,740725
2020-06-05,18.299999,18.850000,17.400000,18.799999,18.799999,2067859
